[2024-03-11 21:56:41,511][train][INFO] - epoch: 0 || adv_avg_loss: 0.6600 |cl_avg_loss: 45.0141 | tot_avg_loss: 5.1614 |
[2024-03-11 21:56:46,438][train][INFO] - ---------valid result! ----------
[2024-03-11 21:56:46,439][train][INFO] - HIT@5: 0.0012|  NDCG@5: 0.0008| HIT@10: 0.0025|  NDCG@10: 0.0012| HIT@20: 0.0059|  NDCG@20: 0.0020
[2024-03-11 21:56:46,445][train][INFO] - saving model after new best score: 0.0020
[2024-03-11 21:56:50,367][train][INFO] - epoch: 1 || adv_avg_loss: 0.5967 |cl_avg_loss: 21.6929 | tot_avg_loss: 2.7660 |
[2024-03-11 21:56:55,444][train][INFO] - ---------valid result! ----------
[2024-03-11 21:56:55,444][train][INFO] - HIT@5: 0.0024|  NDCG@5: 0.0014| HIT@10: 0.0041|  NDCG@10: 0.0019| HIT@20: 0.0091|  NDCG@20: 0.0032
[2024-03-11 21:56:55,450][train][INFO] - saving model after new best score: 0.0032
[2024-03-11 21:56:59,415][train][INFO] - epoch: 2 || adv_avg_loss: 0.5662 |cl_avg_loss: 15.0654 | tot_avg_loss: 2.0728 |
[2024-03-11 21:57:04,375][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:04,375][train][INFO] - HIT@5: 0.0023|  NDCG@5: 0.0012| HIT@10: 0.0060|  NDCG@10: 0.0024| HIT@20: 0.0123|  NDCG@20: 0.0039
[2024-03-11 21:57:04,381][train][INFO] - saving model after new best score: 0.0039
[2024-03-11 21:57:08,298][train][INFO] - epoch: 3 || adv_avg_loss: 0.5477 |cl_avg_loss: 11.1983 | tot_avg_loss: 1.6675 |
[2024-03-11 21:57:13,116][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:13,116][train][INFO] - HIT@5: 0.0017|  NDCG@5: 0.0009| HIT@10: 0.0050|  NDCG@10: 0.0019| HIT@20: 0.0133|  NDCG@20: 0.0040
[2024-03-11 21:57:13,122][train][INFO] - saving model after new best score: 0.0040
[2024-03-11 21:57:17,013][train][INFO] - epoch: 4 || adv_avg_loss: 0.5340 |cl_avg_loss: 9.1498 | tot_avg_loss: 1.4490 |
[2024-03-11 21:57:21,824][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:21,825][train][INFO] - HIT@5: 0.0029|  NDCG@5: 0.0016| HIT@10: 0.0067|  NDCG@10: 0.0029| HIT@20: 0.0136|  NDCG@20: 0.0046
[2024-03-11 21:57:21,831][train][INFO] - saving model after new best score: 0.0046
[2024-03-11 21:57:25,745][train][INFO] - epoch: 5 || adv_avg_loss: 0.5231 |cl_avg_loss: 7.9712 | tot_avg_loss: 1.3203 |
[2024-03-11 21:57:30,505][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:30,505][train][INFO] - HIT@5: 0.0034|  NDCG@5: 0.0020| HIT@10: 0.0073|  NDCG@10: 0.0033| HIT@20: 0.0152|  NDCG@20: 0.0052
[2024-03-11 21:57:30,514][train][INFO] - saving model after new best score: 0.0052
[2024-03-11 21:57:34,436][train][INFO] - epoch: 6 || adv_avg_loss: 0.5142 |cl_avg_loss: 7.3191 | tot_avg_loss: 1.2462 |
[2024-03-11 21:57:39,222][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:39,222][train][INFO] - HIT@5: 0.0038|  NDCG@5: 0.0024| HIT@10: 0.0079|  NDCG@10: 0.0037| HIT@20: 0.0159|  NDCG@20: 0.0057
[2024-03-11 21:57:39,228][train][INFO] - saving model after new best score: 0.0057
[2024-03-11 21:57:43,149][train][INFO] - epoch: 7 || adv_avg_loss: 0.5065 |cl_avg_loss: 6.8462 | tot_avg_loss: 1.1911 |
[2024-03-11 21:57:47,863][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:47,863][train][INFO] - HIT@5: 0.0043|  NDCG@5: 0.0026| HIT@10: 0.0086|  NDCG@10: 0.0039| HIT@20: 0.0166|  NDCG@20: 0.0059
[2024-03-11 21:57:47,872][train][INFO] - saving model after new best score: 0.0059
[2024-03-11 21:57:51,774][train][INFO] - epoch: 8 || adv_avg_loss: 0.5027 |cl_avg_loss: 6.4822 | tot_avg_loss: 1.1509 |
[2024-03-11 21:57:56,542][train][INFO] - ---------valid result! ----------
[2024-03-11 21:57:56,542][train][INFO] - HIT@5: 0.0041|  NDCG@5: 0.0024| HIT@10: 0.0086|  NDCG@10: 0.0039| HIT@20: 0.0182|  NDCG@20: 0.0063
[2024-03-11 21:57:56,548][train][INFO] - saving model after new best score: 0.0063
[2024-03-11 21:58:00,449][train][INFO] - epoch: 9 || adv_avg_loss: 0.4977 |cl_avg_loss: 6.1794 | tot_avg_loss: 1.1156 |
[2024-03-11 21:58:05,179][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:05,179][train][INFO] - HIT@5: 0.0043|  NDCG@5: 0.0026| HIT@10: 0.0085|  NDCG@10: 0.0039| HIT@20: 0.0174|  NDCG@20: 0.0062
[2024-03-11 21:58:05,179][train][INFO] - current early stop cnter: 1
[2024-03-11 21:58:09,108][train][INFO] - epoch: 10 || adv_avg_loss: 0.4918 |cl_avg_loss: 5.9246 | tot_avg_loss: 1.0843 |
[2024-03-11 21:58:13,868][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:13,868][train][INFO] - HIT@5: 0.0038|  NDCG@5: 0.0023| HIT@10: 0.0082|  NDCG@10: 0.0037| HIT@20: 0.0173|  NDCG@20: 0.0060
[2024-03-11 21:58:13,870][train][INFO] - current early stop cnter: 2
[2024-03-11 21:58:17,778][train][INFO] - epoch: 11 || adv_avg_loss: 0.4865 |cl_avg_loss: 5.7188 | tot_avg_loss: 1.0584 |
[2024-03-11 21:58:22,524][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:22,524][train][INFO] - HIT@5: 0.0047|  NDCG@5: 0.0027| HIT@10: 0.0089|  NDCG@10: 0.0041| HIT@20: 0.0186|  NDCG@20: 0.0065
[2024-03-11 21:58:22,531][train][INFO] - saving model after new best score: 0.0065
[2024-03-11 21:58:26,433][train][INFO] - epoch: 12 || adv_avg_loss: 0.4853 |cl_avg_loss: 5.5777 | tot_avg_loss: 1.0431 |
[2024-03-11 21:58:31,120][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:31,120][train][INFO] - HIT@5: 0.0047|  NDCG@5: 0.0030| HIT@10: 0.0093|  NDCG@10: 0.0045| HIT@20: 0.0196|  NDCG@20: 0.0071
[2024-03-11 21:58:31,126][train][INFO] - saving model after new best score: 0.0071
[2024-03-11 21:58:35,031][train][INFO] - epoch: 13 || adv_avg_loss: 0.4818 |cl_avg_loss: 5.4125 | tot_avg_loss: 1.0231 |
[2024-03-11 21:58:39,752][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:39,752][train][INFO] - HIT@5: 0.0045|  NDCG@5: 0.0027| HIT@10: 0.0091|  NDCG@10: 0.0042| HIT@20: 0.0198|  NDCG@20: 0.0068
[2024-03-11 21:58:39,752][train][INFO] - current early stop cnter: 1
[2024-03-11 21:58:43,676][train][INFO] - epoch: 14 || adv_avg_loss: 0.4792 |cl_avg_loss: 5.2922 | tot_avg_loss: 1.0084 |
[2024-03-11 21:58:48,432][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:48,432][train][INFO] - HIT@5: 0.0055|  NDCG@5: 0.0032| HIT@10: 0.0108|  NDCG@10: 0.0049| HIT@20: 0.0204|  NDCG@20: 0.0074
[2024-03-11 21:58:48,438][train][INFO] - saving model after new best score: 0.0074
[2024-03-11 21:58:52,338][train][INFO] - epoch: 15 || adv_avg_loss: 0.4763 |cl_avg_loss: 5.1673 | tot_avg_loss: 0.9930 |
[2024-03-11 21:58:57,078][train][INFO] - ---------valid result! ----------
[2024-03-11 21:58:57,078][train][INFO] - HIT@5: 0.0062|  NDCG@5: 0.0038| HIT@10: 0.0116|  NDCG@10: 0.0055| HIT@20: 0.0221|  NDCG@20: 0.0081
[2024-03-11 21:58:57,085][train][INFO] - saving model after new best score: 0.0081
[2024-03-11 21:59:01,131][train][INFO] - epoch: 16 || adv_avg_loss: 0.4735 |cl_avg_loss: 5.0732 | tot_avg_loss: 0.9808 |
[2024-03-11 21:59:05,866][train][INFO] - ---------valid result! ----------
[2024-03-11 21:59:05,866][train][INFO] - HIT@5: 0.0062|  NDCG@5: 0.0036| HIT@10: 0.0117|  NDCG@10: 0.0053| HIT@20: 0.0225|  NDCG@20: 0.0081
